,label,i,test
0,2,0,False
1,0,1,False
2,4,2,False
3,8,3,False
4,7,4,True
5,6,5,True
6,0,6,False
7,6,7,False
8,3,8,False
9,1,9,False
10,8,10,True
11,0,11,False
12,7,12,True
13,9,13,False
14,8,14,False
15,4,15,True
16,5,16,False
17,3,17,False
18,4,18,False
19,0,19,False
20,6,20,False
21,6,21,False
22,3,22,False
23,0,23,False
24,2,24,True
25,3,25,False
26,6,26,False
27,6,27,False
28,7,28,False
29,4,29,False
30,9,30,False
31,3,31,False
32,8,32,False
33,7,33,True
34,5,34,True
35,4,35,False
36,2,36,False
37,5,37,False
38,5,38,False
39,8,39,True
40,5,40,False
41,2,41,False
42,9,42,False
43,2,43,True
44,4,44,False
45,2,45,False
46,7,46,False
47,0,47,True
48,5,48,False
49,1,49,False
50,0,50,False
51,7,51,False
52,9,52,False
53,9,53,False
54,9,54,False
55,6,55,False
56,5,56,False
57,8,57,False
58,8,58,False
59,6,59,False
60,9,60,True
61,9,61,False
62,5,62,True
63,4,63,False
64,2,64,False
65,6,65,False
66,8,66,False
67,1,67,False
68,0,68,False
69,6,69,False
70,9,70,False
71,5,71,False
72,5,72,False
73,4,73,False
74,1,74,False
75,6,75,False
76,7,76,True
77,5,77,True
78,2,78,False
79,9,79,False
80,0,80,False
81,6,81,False
82,4,82,False
83,4,83,True
84,2,84,False
85,8,85,False
86,7,86,True
87,8,87,False
88,3,88,True
89,0,89,False
90,9,90,False
91,0,91,False
92,1,92,False
93,1,93,False
94,9,94,False
95,4,95,False
96,5,96,False
97,9,97,False
98,7,98,False
99,6,99,True
100,6,100,False
101,0,101,False
102,7,102,False
103,7,103,False
104,8,104,False
105,4,105,False
106,8,106,False
107,8,107,True
108,1,108,True
109,8,109,False
110,0,110,True
111,2,111,False
112,9,112,False
113,1,113,True
114,0,114,False
115,3,115,False
116,9,116,False
117,7,117,False
118,0,118,True
119,4,119,True
120,9,120,False
121,6,121,False
122,8,122,False
123,9,123,False
124,3,124,False
125,5,125,False
126,4,126,False
127,3,127,False
128,2,128,False
129,2,129,True
130,4,130,True
131,0,131,False
132,3,132,False
133,2,133,False
134,3,134,False
135,5,135,False
136,1,136,False
137,1,137,False
138,2,138,False
139,4,139,False
140,8,140,True
141,2,141,False
142,2,142,False
143,6,143,True
144,8,144,True
145,6,145,False
146,1,146,False
147,7,147,False
148,0,148,False
149,6,149,False
150,1,150,False
151,7,151,False
152,7,152,False
153,3,153,False
154,4,154,False
155,4,155,False
156,6,156,False
157,9,157,False
158,0,158,False
159,8,159,True
160,2,160,True
161,8,161,False
162,6,162,False
163,0,163,True
164,9,164,False
165,7,165,False
166,8,166,False
167,2,167,True
168,9,168,True
169,0,169,True
170,2,170,True
171,3,171,False
172,2,172,True
173,8,173,False
174,7,174,False
175,0,175,False
176,1,176,False
177,7,177,True
178,8,178,False
179,5,179,False
180,1,180,False
181,2,181,False
182,3,182,False
183,1,183,False
184,9,184,False
185,8,185,False
186,7,186,False
187,9,187,False
188,0,188,False
189,8,189,False
190,3,190,False
191,9,191,True
192,3,192,False
193,9,193,False
194,7,194,False
195,4,195,False
196,9,196,True
197,3,197,False
198,1,198,False
199,2,199,False
200,2,200,True
201,6,201,False
202,0,202,False
203,7,203,False
204,6,204,False
205,9,205,False
206,5,206,False
207,9,207,False
208,7,208,True
209,4,209,False
210,2,210,False
211,0,211,False
212,1,212,False
213,0,213,False
214,4,214,True
215,9,215,True
216,9,216,True
217,1,217,False
218,9,218,False
219,2,219,False
220,2,220,False
221,6,221,False
222,5,222,True
223,6,223,False
224,0,224,False
225,0,225,False
226,2,226,False
227,7,227,False
228,7,228,False
229,4,229,False
230,7,230,True
231,5,231,True
232,1,232,False
233,7,233,False
234,7,234,False
235,8,235,True
236,2,236,False
237,5,237,False
238,9,238,False
239,6,239,False
240,6,240,False
241,8,241,False
242,0,242,False
243,1,243,False
244,2,244,False
245,1,245,False
246,7,246,False
247,7,247,False
248,7,248,False
249,3,249,False
250,0,250,False
251,3,251,False
252,4,252,False
253,8,253,False
254,3,254,False
255,6,255,False
256,3,256,False
257,8,257,False
258,2,258,True
259,0,259,False
260,7,260,False
261,5,261,False
262,7,262,False
263,2,263,False
264,0,264,False
265,8,265,True
266,5,266,True
267,8,267,False
268,6,268,False
269,7,269,False
270,1,270,True
271,7,271,False
272,1,272,False
273,0,273,False
274,1,274,False
275,8,275,False
276,6,276,False
277,5,277,True
278,1,278,False
279,5,279,False
280,3,280,False
281,1,281,True
282,9,282,True
283,0,283,False
284,8,284,True
285,5,285,False
286,7,286,False
287,1,287,False
288,0,288,False
289,0,289,False
290,6,290,False
291,7,291,True
292,4,292,False
293,1,293,False
294,7,294,False
295,1,295,True
296,2,296,False
297,4,297,False
298,4,298,False
299,8,299,False
300,9,300,True
301,1,301,False
302,0,302,True
303,8,303,False
304,5,304,False
305,3,305,False
306,5,306,False
307,8,307,False
308,9,308,False
309,9,309,False
310,1,310,False
311,8,311,False
312,0,312,True
313,1,313,True
314,3,314,False
315,9,315,False
316,7,316,True
317,1,317,False
318,8,318,False
319,4,319,False
320,6,320,False
321,7,321,True
322,6,322,False
323,6,323,False
324,2,324,False
325,1,325,False
326,2,326,False
327,4,327,False
328,9,328,True
329,7,329,False
330,7,330,False
331,2,331,False
332,5,332,False
333,7,333,False
334,2,334,False
335,8,335,False
336,9,336,False
337,1,337,True
338,7,338,True
339,2,339,False
340,9,340,False
341,5,341,False
342,0,342,False
343,0,343,False
344,4,344,False
345,2,345,False
346,7,346,True
347,5,347,False
348,3,348,False
349,5,349,False
350,8,350,False
351,5,351,False
352,8,352,True
353,6,353,False
354,6,354,False
355,0,355,False
356,8,356,False
357,9,357,True
358,2,358,False
359,5,359,False
360,2,360,False
361,2,361,False
362,6,362,True
363,3,363,False
364,2,364,False
365,3,365,False
366,1,366,False
367,8,367,False
368,1,368,False
369,7,369,False
370,6,370,False
371,4,371,False
372,2,372,False
373,2,373,False
374,2,374,False
375,6,375,False
376,3,376,True
377,2,377,False
378,7,378,False
379,6,379,False
380,6,380,True
381,3,381,False
382,7,382,False
383,2,383,False
384,6,384,False
385,4,385,True
386,9,386,False
387,6,387,False
388,8,388,True
389,5,389,False
390,1,390,False
391,6,391,True
392,5,392,False
393,4,393,True
394,7,394,False
395,1,395,False
396,1,396,False
397,6,397,False
398,8,398,False
399,0,399,False
400,6,400,False
401,1,401,False
402,4,402,False
403,9,403,False
404,7,404,False
405,6,405,False
406,7,406,False
407,7,407,True
408,6,408,False
409,8,409,False
410,9,410,False
411,5,411,True
412,4,412,False
413,7,413,True
414,0,414,False
415,6,415,False
416,3,416,False
417,8,417,False
418,0,418,False
419,9,419,True
420,0,420,False
421,1,421,False
422,1,422,False
423,2,423,False
424,7,424,False
425,6,425,False
426,7,426,True
427,2,427,False
428,6,428,True
429,2,429,False
430,6,430,False
431,1,431,False
432,4,432,False
433,1,433,False
434,0,434,True
435,7,435,False
436,8,436,False
437,1,437,False
438,2,438,False
439,7,439,True
440,1,440,False
441,6,441,False
442,6,442,False
443,4,443,False
444,7,444,False
445,7,445,False
446,3,446,False
447,3,447,True
448,3,448,False
449,3,449,False
450,3,450,False
451,4,451,False
452,6,452,True
453,4,453,False
454,1,454,True
455,1,455,False
456,3,456,False
457,0,457,True
458,7,458,False
459,6,459,False
460,0,460,True
461,5,461,False
462,0,462,False
463,8,463,False
464,7,464,False
465,9,465,False
466,9,466,False
467,1,467,False
468,0,468,False
469,6,469,False
470,6,470,False
471,9,471,False
472,9,472,False
473,4,473,False
474,8,474,True
475,9,475,False
476,4,476,False
477,7,477,False
478,3,478,False
479,3,479,False
480,8,480,False
481,3,481,False
482,1,482,True
483,1,483,True
484,9,484,False
485,4,485,False
486,0,486,False
487,8,487,False
488,3,488,True
489,6,489,False
490,6,490,True
491,9,491,False
492,3,492,False
493,2,493,False
494,6,494,True
495,9,495,False
496,0,496,False
497,9,497,False
498,4,498,False
499,9,499,True
500,0,500,False
501,6,501,False
502,8,502,True
503,4,503,False
504,7,504,False
505,2,505,False
506,6,506,False
507,0,507,False
508,3,508,False
509,1,509,False
510,1,510,False
511,7,511,False
512,6,512,True
513,2,513,False
514,2,514,False
515,4,515,True
516,0,516,False
517,0,517,False
518,1,518,False
519,2,519,False
520,5,520,False
521,5,521,False
522,1,522,False
523,8,523,False
524,7,524,False
525,2,525,True
526,1,526,False
527,9,527,True
528,2,528,False
529,4,529,False
530,4,530,False
531,6,531,False
532,5,532,False
533,1,533,False
534,9,534,False
535,3,535,True
536,2,536,False
537,4,537,False
538,3,538,True
539,4,539,False
540,4,540,True
541,7,541,False
542,5,542,False
543,8,543,False
544,7,544,False
545,8,545,False
546,8,546,True
