Name,ID,scoring_function
random_1,1s78t2wa,random
random_3,19czs0o2,random
random_2,3k6c7m4u,random
submod_3,1esmjupv,submodular_sampling
submod_2,313bvc86,submodular_sampling
loss_cluster_3,1l609jb1,loss_cluster
pred_cluster_2,1umelmcu,pred_cluster
pred_cluster_3,1hocoxrp,pred_cluster
last_loss_3,2chxrcct,last_loss
last_loss_2,ku6x4wdj,last_loss
last_loss_1,20wfj0tb,last_loss
submod_1,23apt9ur,submodular_sampling
loss_cluster_batches_1,2pzjo93e,loss_cluster_batches
loss_cluster_1,1thdv3a2,loss_cluster
pred_cluster_1,10l8e0gn,pred_cluster
loss_cluster_batches_2,2ut26byn,loss_cluster_batches
loss_cluster_batches_3,39wag1to,loss_cluster_batches
loss_cluster_2,10hdojhq,loss_cluster
